Plot,T1.L,T2.L,T3.L,T4.L,T5.L,T1.D,T2.D,T3.D,T4.D,T5.D,,,,Totals,,
B1_1,5,15,25,35,20,0,26.83,36.59,34.15,2.44,,1,,1,2,3
B1_10,20,60,0,20,0,10,15,35,35,5,,1,,65,22,12
B1_2,0,0,66.67,33.33,0,0,50,0,50,0,,1,,,,
B1_3,0,100,0,0,0,   NaN,   NaN,   NaN,   NaN,  NaN,,1,,,,
B1_4,   NaN,  NaN,   NaN,   NaN,  NaN,0,0,0,33.33,66.67,,2,,,,
B1_5,   NaN,  NaN,   NaN,   NaN,  NaN,6.67,20,46.67,26.67,0,,2,,,,
B1_6,0,0,100,0,0,0,27.66,27.66,44.68,0,,1,,,,
B1_7,6.85,21.9,36.99,30.14,4.11,7.02,36.84,29.82,21.05,5.26,,1,,,,
B1_8,   NaN,  NaN,   NaN,   NaN,  NaN,0,100,0,0,0,,2,,,,
B1_9,   NaN,  NaN,   NaN,   NaN,  NaN,0,28.85,32.69,38.46,0,,2,,,,
B2_1,   NaN,  NaN,   NaN,   NaN,  NaN,   NaN,   NaN,   NaN,   NaN,  NaN,,3,,,,
B2_10,4.76,28.6,23.81,33.33,9.52,2.86,40,17.14,28.57,11.43,,1,,,,
B2_2,0,0,100,0,0,2.47,41.98,34.57,20.99,0,,1,,,,
B2_4,18.18,54.5,0,27.27,0,0,31.25,25,39.58,4.17,,1,,,,
B2_5,0,45.5,54.55,0,0,2.27,22.73,29.55,40.91,4.55,,1,,,,
B2_6,0,0,100,0,0,0,0,0,100,0,,1,,,,
B2_7,0,0,0,100,0,8.82,29.41,26.47,23.53,11.76,,1,,,,
B2_8,   NaN,  NaN,   NaN,   NaN,  NaN,0,0,100,0,0,,2,,,,
B2_9,33.33,22.2,22.22,11.11,11.11,1.79,35.71,33.93,26.79,1.79,,1,,,,
B3_1,0,35.7,7.14,57.14,0,0,28.57,20,40,11.43,,1,,,,
B3_10,2.82,31,29.58,33.8,2.82,6.67,20,36.67,36.67,0,,1,,,,
B3_2,0,0,75,25,0,0,40,34.29,25.71,0,,1,,,,
B3_3,   NaN,  NaN,   NaN,   NaN,  NaN,   NaN,   NaN,   NaN,   NaN,  NaN,,3,,,,
B3_4,   NaN,  NaN,   NaN,   NaN,  NaN,0,0,0,100,0,,2,,,,
B3_5,0,0,100,0,0,   NaN,   NaN,   NaN,   NaN,  NaN,,1,,,,
B3_6,0,0,50,50,0,2.67,28,24,36,9.33,,1,,,,
