,ACHY,AMID,AMSIN,ARPU9,ARTR2,ARTR2/D,ATCA2,ATCA2/D,BOGR2,BOGR2/D,BRTE,CHVI8,CHVI8/D,CLLU2,CRFL5,ECCOC,ECCOC/D,ELEL,EPVI,ERCI6,GRFA,GUSA,GUSA/D,HECO26,HECO26/D,JUOS,JUOS/D,KRLA2,KRLA2/DP,LAOC3,LEMO2,MAFR3,OPPO,OPPO/D,PEPU7,PIED,PIED/D,PLPA2,SALS0,SALS0/D,SPCO,SPCR,SPCR/D,UNKSPR,HIJA,UNKF10,AMUT,CEIN7,CEMO2
B1_1,0,0,0,0,0.064377682,0.051502146,0,0.004291845,0.064377682,0.004291845,0,0,0,0,0,0.004291845,0,0,0,0,0,0.004291845,0.004291845,0.008583691,0,0,0,0.017167382,0,0,0,0,0,0,0,0,0,0,0,0,0,0.755364807,0.021459227,0,0,0,0,0,0
B1_10,0,0,0,0,0.014925373,0.034825871,0,0,0.756218905,0.039800995,0,0,0,0,0,0,0,0,0,0,0,0.044776119,0,0.124378109,0,0,0,0.009950249,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009950249,0.004975124,0,0,0,0,0,0
B1_2,0,0,0,0,0,0,0.094736842,0,0.131578947,0,0.010526316,0,0,0,0,0,0,0,0,0.010526316,0,0.021052632,0,0.105263158,0,0,0,0.010526316,0,0,0,0,0.021052632,0,0.005263158,0,0,0,0.005263158,0,0,0.584210526,0,0,0,0,0,0,0
B1_3,0.010869565,0,0,0.048913043,0,0,0.032608696,0,0.14673913,0.027173913,0.010869565,0,0,0,0,0,0,0,0,0,0,0,0,0.010869565,0,0,0,0.010869565,0.010869565,0,0,0,0.119565217,0,0,0,0,0,0.005434783,0.005434783,0,0.592391304,0,0,0,0,0,0,0
B1_4,0,0,0,0,0,0.011299435,0.028248588,0,0.15819209,0.028248588,0.050847458,0,0,0,0,0,0,0,0,0.005649718,0,0,0,0,0,0,0,0.016949153,0,0.056497175,0,0,0.016949153,0,0,0,0,0,0,0,0,0.644067797,0.005649718,0.005649718,0,0,0,0,0
B1_5,0,0,0,0,0,0.012345679,0.086419753,0,0.444444444,0.012345679,0.012345679,0,0,0,0,0,0,0,0,0,0,0,0.00617284,0.104938272,0.012345679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.308641975,0.012345679,0,0,0,0,0,0
B1_6,0,0,0,0,0,0.014218009,0.061611374,0,0.417061611,0.023696682,0.023696682,0.009478673,0,0,0,0,0,0.004739336,0,0,0,0.009478673,0,0.056872038,0,0,0,0,0,0,0,0,0.004739336,0,0,0,0,0,0,0,0,0.388625592,0.004739336,0.004739336,0,0,0,0,0
B1_7,0.023364486,0,0,0,0.121495327,0.056074766,0.014018692,0,0.331775701,0.018691589,0.004672897,0.014018692,0,0,0,0,0,0,0,0,0.009345794,0,0,0.042056075,0,0,0,0,0,0.028037383,0,0,0.014018692,0,0,0,0,0.004672897,0,0,0,0.327102804,0,0.009345794,0,0,0,0,0
B1_8,0,0,0.005882353,0,0,0,0.011764706,0,0.005882353,0,0.011764706,0,0,0.005882353,0,0,0,0.005882353,0,0.005882353,0,0,0,0,0,0,0,0.005882353,0,0.094117647,0,0,0.017647059,0,0,0,0,0.064705882,0,0,0,0.764705882,0,0,0,0,0,0,0
B1_9,0,0,0,0,0,0.034825871,0,0,0.248756219,0.009950249,0,0,0,0,0,0,0,0,0,0,0,0.009950249,0,0.15920398,0,0,0,0,0,0,0,0,0.004975124,0,0,0,0,0,0,0,0,0.532338308,0.009950249,0,0,0,0,0,0
B2_1,0,0.021978022,0,0.005494505,0,0,0,0,0.395604396,0.021978022,0.005494505,0,0,0.005494505,0,0,0,0,0,0,0,0,0,0.038461538,0,0,0,0.054945055,0,0.043956044,0,0,0.082417582,0,0,0,0,0.005494505,0,0,0,0.335164835,0,0,0,0,0,0,0
B2_10,0,0,0,0,0.060402685,0.067114094,0,0,0.44295302,0.026845638,0,0,0,0,0.006711409,0,0,0,0,0,0.026845638,0,0,0.33557047,0.013422819,0,0,0.006711409,0,0,0,0,0,0,0,0,0,0,0,0,0,0.040268456,0,0,0,0,0,0,0
B2_2,0,0,0,0,0,0.04368932,0.033980583,0,0.640776699,0.004854369,0,0,0,0,0,0,0,0,0,0,0,0,0,0.121359223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.160194175,0,0,0,0,0,0,0
B2_4,0,0,0,0,0.016574586,0.016574586,0,0,0.629834254,0.027624309,0.005524862,0,0,0,0,0,0,0,0,0,0.005524862,0,0,0.055248619,0,0,0,0.027624309,0,0,0,0,0,0,0,0,0,0,0.005524862,0,0,0.215469613,0.016574586,0,0,0,0,0,0
B2_5,0.02,0,0,0,0,0.03,0,0,0.55,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0.095,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0.285,0.01,0,0,0,0,0,0
B2_6,0.005882353,0,0,0,0,0.005882353,0.005882353,0,0.582352941,0.017647059,0,0.052941176,0,0,0,0,0,0,0,0,0.011764706,0,0,0.170588235,0,0,0,0.005882353,0,0,0,0,0.023529412,0,0,0,0,0.005882353,0,0,0,0.123529412,0.005882353,0,0,0,0,0,0
B2_7,0.005434783,0,0,0,0,0.097826087,0,0.010869565,0.570652174,0.016304348,0,0.005434783,0,0,0,0.005434783,0.005434783,0,0,0,0,0.005434783,0.005434783,0.092391304,0,0,0,0,0,0.010869565,0.005434783,0,0,0,0,0,0,0,0,0,0,0.179347826,0,0,0,0,0,0,0
B2_8,0,0,0,0,0,0,0,0,0.382022472,0.084269663,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02247191,0,0,0,0,0,0,0,0,0.134831461,0.005617978,0,0,0,0,0,0,0,0.426966292,0.028089888,0,0,0,0,0,0
B2_9,0,0,0,0,0.027932961,0.033519553,0.005586592,0,0.625698324,0.033519553,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111731844,0,0,0,0.022346369,0,0,0,0,0,0,0,0,0,0,0,0,0,0.167597765,0.005586592,0,0,0,0,0,0
B3_1,0.022988506,0,0,0,0.011494253,0.034482759,0,0,0.436781609,0.034482759,0,0,0,0,0,0,0,0,0.005747126,0,0,0.143678161,0.011494253,0.304597701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022988506,0.005747126,0,0,0,0,0,0
B3_10,0,0,0,0,0.093023256,0.040697674,0.01744186,0,0.401162791,0.011627907,0,0,0,0,0,0,0,0.005813953,0,0,0,0.005813953,0.005813953,0.104651163,0.005813953,0.029069767,0,0.011627907,0,0,0,0,0,0,0,0.029069767,0,0,0,0.005813953,0,0.244186047,0,0,0,0,0,0,0
B3_2,0,0,0,0,0,0.012345679,0,0,0.425925926,0.043209877,0,0,0,0,0,0,0,0.00617284,0,0,0,0.030864198,0,0.216049383,0.00617284,0,0,0.024691358,0,0,0,0,0.00617284,0,0,0,0,0,0,0,0,0.271604938,0,0,0,0,0,0,0
B3_3,0,0,0,0,0,0,0.007874016,0,0.566929134,0.031496063,0.023622047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015748031,0,0,0.015748031,0,0,0,0,0,0.070866142,0.015748031,0,0.251968504,0.031496063,0,0,0,0,0,0
B3_4,0,0,0.004237288,0,0,0,0.016949153,0,0.444915254,0.012711864,0.004237288,0,0,0,0,0,0,0,0,0.025423729,0,0,0,0.033898305,0,0,0,0,0,0.008474576,0,0,0.110169492,0,0,0,0,0.004237288,0.004237288,0,0,0.338983051,0.004237288,0,0,0,0,0,0
B3_5,0,0,0,0,0,0,0,0,0.24025974,0,0,0,0,0.006493506,0,0,0,0,0,0.012987013,0,0.006493506,0,0.012987013,0,0.006493506,0,0.006493506,0,0,0,0,0,0,0,0,0,0,0.084415584,0.006493506,0,0.597402597,0.019480519,0,0,0,0,0,0
B3_6,0.009302326,0,0,0,0.004651163,0.106976744,0.018604651,0,0.446511628,0.037209302,0,0.004651163,0,0,0,0,0,0,0,0,0,0,0.004651163,0.23255814,0.013953488,0,0,0,0,0,0,0,0.004651163,0,0,0,0,0,0,0,0,0.148837209,0,0,0,0,0,0,0
B3_7,0.019512195,0,0,0,0.009756098,0.068292683,0.024390244,0,0.390243902,0.019512195,0,0,0,0,0,0,0,0,0.009756098,0,0,0.102439024,0.034146341,0.287804878,0.004878049,0,0,0,0,0,0,0,0,0,0,0.014634146,0,0,0,0,0,0.024390244,0,0,0,0,0,0,0
B3_8,0,0,0,0,0,0.014705882,0,0,0.875,0.044117647,0,0,0,0,0,0,0,0,0,0,0,0,0.007352941,0,0,0,0,0,0,0.007352941,0,0,0,0.007352941,0,0,0,0,0,0,0,0.080882353,0.007352941,0,0,0,0,0,0
B3_9,0,0.004878049,0,0,0,0,0,0,0.692682927,0.014634146,0.004878049,0,0,0,0,0,0,0,0,0,0.004878049,0,0,0.03902439,0.004878049,0,0,0,0,0.009756098,0,0,0.068292683,0,0,0,0,0.019512195,0,0,0,0.136585366,0.004878049,0,0,0,0,0,0
B4_1,0.020408163,0,0,0,0.005102041,0.030612245,0.010204082,0.015306122,0.408163265,0.020408163,0,0,0,0,0,0,0,0,0,0,0,0.030612245,0.030612245,0.295918367,0.010204082,0,0,0,0,0,0,0,0.005102041,0.005102041,0,0,0,0,0,0,0.005102041,0.117346939,0,0,0,0,0,0,0
B4_10,0.012987013,0,0,0,0,0.032467532,0.051948052,0,0.298701299,0.019480519,0,0.006493506,0,0,0,0,0,0,0,0,0,0.064935065,0.019480519,0.5,0,0.006493506,0,0,0,0,0,0,0.006493506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B4_2,0.007462687,0,0,0.007462687,0.007462687,0.052238806,0.044776119,0,0.47761194,0.02238806,0.014925373,0,0,0,0,0,0,0,0,0,0,0.059701493,0.014925373,0.044776119,0,0,0,0,0,0,0,0.037313433,0.029850746,0,0.007462687,0,0,0,0,0,0,0.194029851,0,0,0,0,0,0,0
B4_3,0,0,0,0,0.005494505,0.093406593,0.005494505,0,0.653846154,0.082417582,0,0,0,0,0,0,0,0,0,0,0,0.016483516,0.010989011,0.10989011,0,0,0,0,0,0,0.005494505,0.010989011,0,0,0,0.032967033,0,0,0,0,0,0.054945055,0,0,0,0,0,0,0
B4_4,0.010989011,0,0,0,0,0.054945055,0,0,0.521978022,0.043956044,0,0,0,0,0,0,0,0,0,0,0,0,0.005494505,0.181318681,0.010989011,0.005494505,0,0,0,0,0,0,0.005494505,0,0,0,0,0,0,0,0,0.203296703,0,0,0,0,0,0,0
B4_6,0,0,0,0,0.056122449,0.025510204,0,0,0.234693878,0.030612245,0,0,0,0,0,0,0,0,0,0,0,0.005102041,0.005102041,0.096938776,0,0,0,0.010204082,0.005102041,0,0,0,0.015306122,0,0,0,0,0,0,0,0,0.540816327,0.010204082,0,0,0,0,0,0
B4_7,0,0,0,0,0,0.015384615,0.025641026,0,0.661538462,0.046153846,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005128205,0,0,0,0.005128205,0,0,0,0,0.015384615,0.005128205,0,0,0,0,0,0.005128205,0,0.235897436,0.020512821,0,0,0,0,0,0
B4_8,0.009569378,0,0,0,0,0,0.062200957,0,0,0,0.114832536,0,0,0,0,0,0,0,0,0,0,0,0.004784689,0.004784689,0,0,0,0,0,0,0,0,0.177033493,0,0,0,0,0,0,0.004784689,0,0.612440191,0.009569378,0,0,0,0,0,0
B4_9,0.041958042,0,0,0,0,0.041958042,0.006993007,0,0.286713287,0.034965035,0,0,0,0,0,0,0,0.006993007,0,0,0,0.020979021,0.006993007,0.216783217,0,0.020979021,0,0,0,0,0,0,0.027972028,0.006993007,0,0.132867133,0,0,0,0,0,0.174825175,0,0,0,0,0,0,0
