,ACHY,AMID,ARPU9,ARTR2,ARTR2.D,ATCA2,ATCA2.D,Bare.Soil,BOGR2,BRTE,CHLE4,CLLU2,ECCOC,ELEL5,EPVI,ERCI6,GRFA,JUOS,KRLA2,LAOC3,LEMO2,OPPO,OPPO.D,PEPU7,PIED,PLPA2,SALSO,SALSO.D,SPCO,HIJA,SPCR,GUSA2,GUSA2.D,HECO26
B1_1,0,0,0,5,4,0,0.333333333,9,5,0,0,0,0.333333333,0,0,0,0,0,1.333333333,0,0,0,0,0,0,0,0,0,0,0,60.33333333,0.333333333,0.333333333,0.666666667
B1_10,0,0,0,1,2.333333333,0,0,11.33333333,50.66666667,0,0,0,0,0,0,0,0,0,0.666666667,0,0,0,0,0,0,0,0,0,0,0,1,3,0,8.333333333
B1_2,0,0,0,0,0,6,0,11.66666667,8.333333333,0.666666667,0,0,0,0,0,0.666666667,0,0,0.666666667,0,0,1.333333333,0,0.333333333,0,0,0.333333333,0,0,0,37,1.333333333,0,6.666666667
B1_3,0.666666667,0,3,0,0,2,0,20.66666667,9,0.666666667,0,0,0,0,0,0,0,0,0.666666667,0,0,7.333333333,0,0,0,0,0.333333333,0.333333333,0,0,36.33333333,0,0,0.666666667
B1_4,0,0,0,0,0.666666667,1.666666667,0,13,9.333333333,3,0.333333333,0,0,0,0,0.333333333,0,0,1,3.333333333,0,1,0,0,0,0,0,0,0,0,38.33333333,0,0,0
B1_5,0,0,0,0,0.666666667,4.666666667,0,18.66666667,24,0.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.33333333,0,0.333333333,6.333333333
B1_6,0,0,0,0,1,4.333333333,0,10,29.33333333,1.666666667,0.333333333,0,0,0.333333333,0,0,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0,27.66666667,1.333333333,0,4
B1_7,1.666666667,0,0,8.666666667,4,1,0,10.33333333,23.66666667,0.333333333,0.666666667,0,0,0,0,0,0.666666667,0,0,2,0,1,0,0,0,0.333333333,0,0,0,0,23.33333333,1,0,3
B1_8,0,0.333333333,0,0,0,0.666666667,0,14.66666667,0.333333333,0.666666667,0,0.333333333,0,0.333333333,0,0.333333333,0,0,0.333333333,5.333333333,0,1,0,0,0,3.666666667,0,0,0,0,43.33333333,0,0,0
B1_9,0,0,0,0,2.333333333,0,0,13,16.66666667,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0,36.33333333,0.666666667,0,10.66666667
