"","A","B","C","D","E"
"B1_1",2.65486725663717,7.9646017699115,25.6637168141593,12.3893805309735,0
"B1_10",0,12.3809523809524,22.8571428571429,0.952380952380952,0
"B1_2",0,7.40740740740741,11.1111111111111,7.40740740740741,0
"B1_3",1.2987012987013,1.2987012987013,0,0,0
"B1_4",0,0,0.980392156862745,0,0
"B1_5",0,10,22.5,2.5,0
"B1_6",0,19.047619047619,26.1904761904762,9.52380952380952,2.38095238095238
"B1_7",4.58015267175572,2.29007633587786,50.381679389313,30.5343511450382,0
"B1_8",0,4.34782608695652,0,0,0
"B1_9",0,32.7272727272727,54.5454545454545,7.27272727272727,0
"B2_1",0,0,0,0,0
"B2_10",0,23.0769230769231,65.3846153846154,3.84615384615385,0
"B2_2",0,26.1682242990654,44.8598130841121,3.73831775700935,0
"B2_4",0,10.3305785123967,12.396694214876,0,0
"B2_5",3.50877192982456,21.0526315789474,56.140350877193,10.5263157894737,0
"B2_6",0,1.16279069767442,1.74418604651163,0,0
"B2_7",0,28.2051282051282,41.025641025641,5.12820512820513,0
"B2_8",0,20,20,0,0
"B2_9",0,16.6666666666667,35.1851851851852,2.77777777777778,0
"B3_1",1.86915887850467,11.214953271028,28.0373831775701,0.934579439252336,0
"B3_10",0,15.8469945355191,30.6010928961749,5.46448087431694,0
"B3_2",0.387596899224806,5.42635658914729,9.30232558139535,0,0
"B3_3",0,0,0,0,0
"B3_4",0,3.84615384615385,0,0,0
"B3_5",0,0,9.09090909090909,0,0
"B3_6",0,18.5714285714286,62.8571428571429,15.7142857142857,0
"B3_7",0,38.1578947368421,35.5263157894737,5.26315789473684,0
"B3_8",0,16.6666666666667,33.3333333333333,0,0
"B3_9",NA,NA,NA,NA,NA
"B4_1",0,16.6666666666667,47.9166666666667,2.08333333333333,0
"B4_10",0,18.1818181818182,58.1818181818182,0,0
"B4_2",2.85714285714286,20,31.4285714285714,0,0
"B4_3",1.49253731343284,11.9402985074627,46.2686567164179,22.3880597014925,0
"B4_4",0,26.4705882352941,55.8823529411765,2.94117647058824,0
"B4_6",0,19.047619047619,47.6190476190476,14.2857142857143,0
"B4_7",0,7.69230769230769,0,0,0
"B4_8",0,0,0,0,0
"B4_9",0,9.67741935483871,38.7096774193548,0,0
"IL1_1",1.31578947368421,7.89473684210526,46.0526315789474,39.4736842105263,0
"IL1_10",0,3.26086956521739,2.17391304347826,1.08695652173913,0
"IL1_3",0,0,0,0,0
"IL1_4",1.24223602484472,9.3167701863354,35.4037267080745,3.1055900621118,0.62111801242236
"IL1_5",0,25,41.6666666666667,4.16666666666667,0
"IL1_8",0,7.14285714285714,64.2857142857143,21.4285714285714,0
"IL1_9",29.5454545454545,6.81818181818182,43.1818181818182,4.54545454545455,0
"IL2_1",0,10.8695652173913,58.695652173913,0,0
"IL2_10",0,14.2857142857143,35.3383458646617,1.50375939849624,0
"IL2_2",0,0,0,0,0
"IL2_3",6.89655172413793,34.4827586206897,46.551724137931,6.89655172413793,0
"IL2_4",0,31.25,31.25,0,0
"IL2_5",0,0,0,0,0
"IL2_7",3.2,4.8,41.6,12.8,0
"IL2_8",0,10,42.5,5,0
"IL2_9",2.5974025974026,14.9350649350649,5.84415584415584,0.649350649350649,0
"IL3_1",0,50,34.2105263157895,0,0
"IL3_10",1.63934426229508,4.91803278688525,32.7868852459016,18.0327868852459,0
"IL3_2",1.81818181818182,9.09090909090909,43.6363636363636,41.8181818181818,0
